class,brightness,mean_r,mean_g,mean_b,height,width
buildings,165.46626666666666,166.79973333333334,165.36417777777777,164.2348888888889,150,150
buildings,131.72385185185186,129.6380888888889,130.53404444444445,134.99942222222222,150,150
buildings,121.22573333333334,113.95,123.40671111111111,126.32048888888889,150,150
buildings,155.8554814814815,161.42626666666666,140.3604,165.77977777777778,150,150
buildings,75.68111111111111,52.532177777777775,77.8844888888889,96.62666666666667,150,150
buildings,103.8917037037037,92.80173333333333,108.50084444444444,110.37253333333334,150,150
buildings,147.86202962962963,142.82395555555556,148.41937777777778,152.34275555555556,150,150
buildings,131.07641481481483,127.25693333333334,139.56466666666665,126.40764444444444,150,150
buildings,136.3645037037037,143.6249777777778,141.15426666666667,124.31426666666667,150,150
buildings,127.94204444444445,150.50595555555554,127.29186666666666,106.02831111111111,150,150
buildings,144.07004444444445,184.22377777777777,135.14955555555557,112.8368,150,150
buildings,97.46042962962963,104.78004444444444,96.23026666666667,91.37097777777778,150,150
buildings,118.00183703703703,118.22702222222222,117.25275555555555,118.52573333333333,150,150
buildings,122.64394074074075,107.98595555555555,123.19724444444445,136.74862222222222,150,150
buildings,102.62026666666667,135.8532888888889,80.42613333333334,91.58137777777777,150,150
buildings,98.52992592592592,102.44333333333333,102.09951111111111,91.04693333333333,150,150
buildings,147.44232592592593,142.47875555555555,151.15746666666666,148.69075555555557,150,150
buildings,105.4142962962963,73.74395555555556,114.72586666666666,127.77306666666667,150,150
buildings,118.21346666666666,115.70528888888889,120.59777777777778,118.33733333333333,150,150
buildings,125.04222222222222,130.4944,127.90386666666667,116.7284,150,150
buildings,131.5452740740741,132.2411111111111,132.0617777777778,130.33293333333333,150,150
buildings,152.00182222222222,137.9364,153.22266666666667,164.8464,150,150
buildings,129.6666962962963,137.8861777777778,130.40386666666666,120.71004444444445,150,150
buildings,98.52882962962963,81.18075555555555,97.24666666666667,117.15906666666666,150,150
buildings,115.98742222222222,128.1323111111111,112.31408888888889,107.51586666666667,150,150
buildings,120.36211851851851,97.92568888888889,124.48231111111112,138.67835555555556,150,150
buildings,132.6118962962963,108.338,127.882,161.61568888888888,150,150
buildings,112.2489037037037,105.05373333333333,117.56573333333333,114.12724444444444,150,150
buildings,148.40666666666667,161.51884444444445,146.24862222222222,137.45253333333332,150,150
buildings,149.88462222222222,154.46333333333334,149.79426666666666,145.39626666666666,150,150
buildings,98.42936296296297,94.69057777777778,99.76826666666666,100.82924444444444,150,150
buildings,121.83161481481481,113.87644444444445,118.08524444444444,133.53315555555557,150,150
buildings,73.55133333333333,75.22426666666667,73.26102222222222,72.16871111111111,150,150
buildings,119.9100888888889,119.6916,119.26013333333333,120.77853333333333,150,150
buildings,121.51238518518518,108.6027111111111,124.29044444444445,131.644,150,150
buildings,113.04318518518518,112.37653333333333,113.31742222222222,113.4356,150,150
buildings,49.382666666666665,36.92737777777778,49.72622222222222,61.4944,150,150
buildings,113.80251851851853,113.34693333333334,114.16035555555555,113.90026666666667,150,150
buildings,78.49785185185185,83.15733333333333,73.962,78.37422222222222,150,150
buildings,134.95546666666667,144.65262222222222,131.0532888888889,129.1604888888889,150,150
